uid_4826,NEAR_DIST
572,8.447168365
573,8.12653099
574,7.386057465
575,28.1377169
578,34.71558143
579,34.96780717
58,18.71486801
581,24.79441542
587,16.35287615
588,26.7632138
589,26.73201954
59,26.66901071
590,26.6770458
591,26.63720858
6,8.967737392
60,24.8104608
61,28.62288635
62,34.79750023
63,31.70602099
64,31.57564029
65,32.96728641
66,28.15034962
67,25.75743997
7,10.31597633
71,8.356107274
72,41.75877741
73,46.15213942
74,48.19524517
75,26.86560663
75,26.86560663
76,22.78285919
77,21.81922525
78,14.60908355
8,12.51089695
80,13.57325149
81,11.4961278
82,11.47000535
85,1.969474396
87,2.224673782
89,2.900174425
9,9.511233827
90,2.936308512
91,1.170634121
92,1.258754662
93,4.02538889
94,6.813547103
97,14.0106536
98,6.773457242
99,2.819981619
